name,category,primary_muscles,secondary_muscles,movement_pattern,difficulty,equipment,contraindication_tags,loading_scheme,coach_notes,is_tracked,tier,active
Mountain Climbers,accessory,core;shoulders,quadriceps;cardio,core,all,bodyweight,wrist,"Circuit/bonus, volume per session","High plank, fast alternating knees, stable hips.",no,studio,yes
Banded Lateral Walk,mobility,glute_medius,abductors;hip_stabilizers,core,all,band,,2-3 sets x 10/10,"Band at ankles/knees, constant tension. Glute med activation.",no,studio,yes
Bridge Psoas March,mobility,psoas;core,glutes;lower_back,core,all,bodyweight,lower_back,2-3 sets x 10/10,"Bridge position, alternate knee march, hold brace.",no,studio,yes
Banded Hamstring Kicks,mobility,hamstrings,glutes;core,core,all,band,,2-3 sets x 20s dynamic,"Band at ankle, dynamic leg extension back.",no,studio,yes
Cobra Walking Lunges,mobility,quadriceps;glutes,hips;core,lunge,all,bodyweight,knee,2 x 10-20m,Forward lunge with torso rotation. Hip + T-spine mobility.,no,studio,yes
Rower Hamstring Curls,mobility,hamstrings,glutes;core,core,all,rowing_machine,knee,2-3 sets x 10-20,"Heels on rower seat, curl seat in, glutes up.",no,studio,yes
Wall Ball,conditioning,quadriceps;full_body,shoulders;core;glutes,squat,all,medicine_ball;wall,shoulder,Beginner 4-6kg / Open 6-9kg / Pro 9-12kg,"Full squat then push, steady cadence.",no,studio,yes
Burpee,conditioning,full_body,shoulders;core;legs,cardio,all,bodyweight,wrist,Beginner: step burpee. Open/Pro: standard,Fluid continuous cadence. No jump required for beginners.,no,studio,yes
Box Jump,conditioning,quadriceps;glutes,calves;core,squat,all,box,knee;ankle,Beginner: step up. Advanced: 24in/20in,"Soft landing, step down under fatigue.",no,studio,yes
Box Jump Over,conditioning,quadriceps;glutes,calves;core,squat,intermediate,box,knee;ankle,24in/20in. Beginner: step over,"Soft landing, fluid sequencing.",no,studio,yes
Sandbag Walking Lunge,conditioning,quadriceps;glutes,core;hamstrings,lunge,all,sandbag,knee,Beginner 10kg / Open 20kg / Pro 30kg,"Stable posture, front knee tracks foot.",no,studio,yes
Sled Push,conditioning,quadriceps;glutes,core;shoulders;calves,carry,all,sled,lower_back,Beginner 80/60kg / Open 152/102kg / Pro 202/152kg,"Low posture, continuous drive through legs/hips.",no,studio,yes
Sled Pull,conditioning,back;full_body,arms;core;legs,pull,all,sled;rope,shoulder,Beginner 80/60kg / Open 103/78kg / Pro 153/103kg,"Constant rope tension, drive through legs/hips.",no,studio,yes
Farmer Carry (Dumbbells),conditioning,full_body;grip,core;traps;legs,carry,all,dumbbells,lower_back,Beginner 2x15kg / Open 2x20-30kg / Pro 2x30-40kg,"Fast stable walk, controlled grip. Score = distance.",no,studio,yes
Dumbbell Thrusters,conditioning,quadriceps;shoulders,glutes;core;triceps,push,all,dumbbells,shoulder;knee,30s ON/30s OFF. @2x15/10kg,"Full squat then simultaneous press, steady rhythm.",no,studio,yes
Burpee Broad Jump,conditioning,full_body,shoulders;core;legs;glutes,cardio,intermediate,bodyweight,knee;ankle,Max distance/set,Explosive horizontal jump after each burpee.,no,advanced,yes
Burpee to Plate,conditioning,full_body,shoulders;core;legs,cardio,all,bodyweight;plate,wrist;knee,Max reps on interval. Beginner: step over,"Controlled cadence, finish both feet on plate.",no,studio,yes
